ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevent,time_explore_relevent,time_ticket_explore,time_explore_total
ARE000018904852,ARE,0,0,0,0,0,8.9,28.1,37,0,28.1,0,0,28.1
ARE000018904861,ARE,0,0,0,0,0,26.2,22.3,48.5,0,22.3,0,0,22.3
ARE000018904843,ARE,0,0,0,0,0,29.8,19.6,49.4,0,19.6,0,0,19.6
ARE000018904832,ARE,0,0,0,0,0,34.4,25.4,59.8,0,25.4,0,0,25.4
ARE000040210135,ARE,0,0,0,0,0,143.3,21.4,164.7,0,21.4,0,0,21.4
ARE000040210143,ARE,0,0,0,0,0,33.4,6.1,39.5,0,6.1,0,0,6.1
ARE000040210127,ARE,0,0,0,0,0,2.2,0,2.2,0,0,0,0,0
ARE000037209396,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE000004801214,ARE,0,0,0,0,0,12.8,0,12.8,0,0,0,0,0
ARE000026106641,ARE,0,0,0,0,0,65.6,16,81.6,0,16,0,0,16
ARE000026106640,ARE,0,0,0,0,0,31.2,7.2,38.4,0,7.2,0,0,7.2
ARE000026106638,ARE,0,0,0,0,0,57.1,17.8,74.9,0,17.8,0,0,17.8
ARE000031307962,ARE,0,0,0,0,0,45.6,4.8,50.4,0,4.8,0,0,4.8
ARE000031307965,ARE,0,0,0,0,0,37.6,2.3,39.9,0,2.3,0,0,2.3
ARE000031307949,ARE,0,0,0,0,0,28.8,37.1,65.9,0,37.1,0,0,37.1
ARE000031307940,ARE,0,0,0,0,0,3,16.1,19.1,0,16.1,0,0,16.1
ARE000034208671,ARE,0,0,0,0,0,50.1,18.5,68.6,0,18.5,0,0,18.5
ARE000034208658,ARE,0,0,0,0,0,44.3,12.2,56.5,0,12.2,0,0,12.2
ARE000034208662,ARE,0,0,0,0,0,34,5.9,39.9,0,5.9,0,0,5.9
ARE000027907122,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE000027907117,ARE,10.5,8,0,35.4,0,154.4,64.3,218.7,53.9,10.4,45.9,0,56.3
ARE000027907111,ARE,0,0,0,0,0,52.5,25.3,77.8,0,25.3,0,0,25.3
ARE000043610933,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE000043610936,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE000043610937,ARE,0,0,0,0,0,21.9,4.3,26.2,0,4.3,0,0,4.3
ARE000022805828,ARE,0,0,0,0,0,125.6,0,125.6,0,0,0,0,0
ARE000022805850,ARE,0,0,0,0,0,3.1,4.7,7.8,0,4.7,0,0,4.7
ARE000022805842,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE000016904273,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0
