ID,event_value,event_number,instance,credit,sequence,final_sequence
ARE000018904852,Buy,5,10,0,c,c
ARE000018904861,Buy,5,10,0,c,c
ARE000018904843,Buy,10,10,0,c,c
ARE000018904832,Buy,5,10,0,c,c
ARE000040210135,Buy,6,10,0,c,c
ARE000040210143,Buy,6,10,0,c,c
ARE000040210127,country_trains,2,3,0,c,c
ARE000004801214,country_trains,2,3,0,c,c
ARE000026106641,Buy,5,10,0,c,c
ARE000026106640,trip_n,5,8,0,c,c
ARE000026106638,Buy,8,10,0,c,c
ARE000031307962,daily,4,7,0,c,c
ARE000031307965,Buy,5,10,0,c,c
ARE000031307949,Buy,7,10,0,c,c
ARE000031307940,Buy,11,10,0,c,c
ARE000034208671,Buy,10,10,0,c,c
ARE000034208658,Buy,6,10,0,c,c
ARE000034208662,Buy,6,10,0,c,c
ARE000027907117,Cancel,3,11,1,c,c
ARE000027907117,Cancel,8,11,1,b3,b3
ARE000027907117,Cancel,12,11,1,a1,a1
ARE000027907117,Buy,17,10,1,b4,b4
ARE000027907111,Buy,5,10,0,c,c
ARE000043610937,Buy,5,10,0,c,c
ARE000022805828,Cancel,2,11,0,c,c
ARE000022805850,Buy,5,10,0,c,c
ARE000016904285,Buy,5,10,0,c,c
ARE000016904292,Buy,5,10,0,c,c
ARE000027006885,Buy,5,10,0,c,c
ARE000007201881,Buy,5,10,0,c,c
ARE000007201850,Buy,5,10,0,c,c
ARE000007201854,Buy,5,10,0,c,c
ARE000008402085,Buy,5,10,0,c,c
ARE000008402063,country_trains,2,3,0,c,c
ARE000034108646,Buy,6,10,0,c,c
ARE000012403090,Buy,9,10,0,c,c
ARE000012403084,Buy,5,10,0,c,c
ARE000012403101,trip_n,19,8,0,c,c
ARE000016404128,country_trains,2,3,0,c,c
ARE000011102732,Buy,7,10,0,c,c
ARE000011302806,Buy,5,10,0,c,c
ARE000011302820,Buy,6,10,0,c,c
ARE000011302798,Cancel,5,11,1,c,c
