stu_id,credit,sequence,length
ARE000027907117,1,bab,3.0
ARE000011302798,1,aab,3.0
ARE000018804820,1,ab,2.0
ARE000017704511,0,b,1.0
ARE000032208192,0,b,1.0
ARE000033408457,0,a,1.0
ARE000039910042,1,babab,5.0
ARE000028807341,0,a,1.0
ARE000034908831,0,b,1.0
ARE000006001557,1,abab,4.0
ARE000000200051,0,b,1.0
ARE000024506213,1,babb,4.0
ARE000024506237,0,b,1.0
ARE000035108861,0,b,1.0
ARE000006601699,1,ab,2.0
ARE000043911026,0,a,1.0
ARE000043911046,0,b,1.0
ARE000041810517,1,aab,3.0
ARE000041810530,1,bab,3.0
ARE000009502338,0,b,1.0
ARE000009502331,1,abab,4.0
ARE000009502346,1,ab,2.0
ARE000025206448,0,ab,2.0
ARE000025206442,0,a,1.0
ARE000020705270,0,b,1.0
ARE000017104348,0,bb,2.0
ARE000017104340,1,abab,4.0
ARE000017104333,1,babab,5.0
ARE000022705823,0,b,1.0
ARE000030007614,0,b,1.0
ARE000030007618,1,aab,3.0
ARE000003400822,0,b,1.0
ARE000001700407,1,babab,5.0
ARE000032808321,0,b,1.0
ARE000032808325,0,b,1.0
ARE000032808330,1,ab,2.0
ARE000006201612,0,b,1.0
ARE000032608286,0,b,1.0
ARE000032608302,0,a,1.0
ARE000018404701,0,b,1.0
ARE000037409436,1,aabab,5.0
ARE000037409440,1,bab,3.0
ARE000037409432,0,b,1.0
ARE000009302297,0,a,1.0
ARE000009402322,0,bb,2.0
ARE000030507767,0,b,1.0
ARE000030507789,0,b,1.0
ARE000016604192,0,b,1.0
ARE000016604182,1,ab,2.0
ARE000016604204,0,b,1.0
ARE000019304922,1,ab,2.0
ARE000019304938,1,bab,3.0
ARE000019304926,0,bb,2.0
ARE000018304659,0,aaaaaaaaa,9.0
ARE000018304650,1,bab,3.0
ARE000037909575,0,b,1.0
ARE000040410185,0,b,1.0
ARE000020605244,1,aaaaaaab,8.0
ARE000032408244,0,b,1.0
ARE000014603660,0,b,1.0
ARE000022605812,0,a,1.0
ARE000039709991,0,b,1.0
ARE000023405999,0,b,1.0
ARE000000600138,1,ab,2.0
ARE000041310416,0,b,1.0
ARE000006901796,0,a,1.0
ARE000010402566,0,b,1.0
ARE000004401098,1,bab,3.0
ARE000036009060,1,aab,3.0
ARE000006501674,1,ab,2.0
ARE000023906089,1,bab,3.0
ARE000008902171,0,b,1.0
ARE000028607305,0,a,1.0
ARE000025706560,0,a,1.0
ARE000014703688,1,bab,3.0
ARE000012603160,1,bab,3.0
ARE000005101299,0,b,1.0
ARE000009602360,0,b,1.0
ARE000009602379,0,b,1.0
ARE000029707549,0,b,1.0
ARE000029707551,0,abba,4.0
ARE000018704806,0,b,1.0
ARE000043210851,0,b,1.0
ARE000007001812,0,ab,2.0
ARE000034608757,0,b,1.0
ARE000010602617,0,b,1.0
ARE000020105136,0,b,1.0
ARE000010102465,0,bb,2.0
ARE000010102472,0,aaaaaaa,7.0
ARE000017604462,1,ab,2.0
ARE000036809254,0,ab,2.0
ARE000042210617,0,b,1.0
ARE000042210601,1,ab,2.0
ARE000044711254,1,aabbb,5.0
ARE000044711242,0,a,1.0
ARE000024706290,1,ab,2.0
ARE000024706276,1,abab,4.0
ARE000018504738,0,b,1.0
ARE000001400339,0,a,1.0
ARE000001400325,0,b,1.0
ARE000005401403,1,ab,2.0
ARE000045211374,1,ab,2.0
ARE000045211366,0,b,1.0
ARE000009002221,0,a,1.0
ARE000009002226,1,ab,2.0
ARE000020305158,0,b,1.0
ARE000044811269,0,a,1.0
ARE000044811275,0,b,1.0
ARE000026506767,0,b,1.0
ARE000027807077,1,ab,2.0
ARE000011602907,1,abab,4.0
ARE000011602895,1,ab,2.0
ARE000011602904,1,abb,3.0
ARE000005901536,0,b,1.0
ARE000005901528,0,bbb,3.0
ARE000013803475,1,bab,3.0
ARE000034808797,0,b,1.0
ARE000034808810,0,a,1.0
ARE000033208436,1,ab,2.0
ARE000006301615,1,ab,2.0
ARE000004701200,0,b,1.0
ARE000004701199,0,b,1.0
ARE000028907353,1,ab,2.0
ARE000031708049,0,b,1.0
ARE000030107637,1,bbabb,5.0
ARE000028207204,1,bab,3.0
ARE000029907598,0,a,1.0
ARE000029907600,0,a,1.0
ARE000005701485,0,b,1.0
ARE000039109874,0,b,1.0
ARE000000700191,1,bab,3.0
ARE000005801510,0,a,1.0
ARE000003300782,1,bab,3.0
ARE000015703945,0,b,1.0
ARE000026306690,0,bb,2.0
ARE000026306705,1,abab,4.0
ARE000032508265,1,abbab,5.0
ARE000032508277,0,b,1.0
ARE000001900451,0,a,1.0
ARE000001900472,1,ab,2.0
ARE000031808076,1,ab,2.0
ARE000031808094,1,ab,2.0
ARE000005301373,1,bab,3.0
ARE000005301378,1,bab,3.0
ARE000005301376,0,b,1.0
ARE000005301357,0,a,1.0
ARE000014503631,1,ab,2.0
ARE000020205154,0,b,1.0
ARE000003000740,0,b,1.0
ARE000003000719,1,babb,4.0
ARE000013603424,0,b,1.0
ARE000013603419,1,bab,3.0
ARE000017504447,1,ab,2.0
ARE000017504444,1,ab,2.0
