stu_id,sequence,length
ARE000027907117,bab,3.0
ARE000011302798,aab,3.0
ARE000018804820,ab,2.0
ARE000017704511,b,1.0
ARE000032208192,b,1.0
ARE000033408457,a,1.0
ARE000039910042,babab,5.0
ARE000028807341,a,1.0
ARE000034908831,b,1.0
ARE000006001557,abab,4.0
ARE000000200051,b,1.0
ARE000024506213,babb,4.0
ARE000024506237,b,1.0
ARE000035108861,b,1.0
ARE000006601699,ab,2.0
ARE000043911026,a,1.0
ARE000043911046,b,1.0
ARE000041810517,aab,3.0
ARE000041810530,bab,3.0
ARE000009502338,b,1.0
ARE000009502331,abab,4.0
ARE000009502346,ab,2.0
ARE000025206448,ab,2.0
ARE000025206442,a,1.0
ARE000020705270,b,1.0
ARE000017104348,bb,2.0
ARE000017104340,abab,4.0
ARE000017104333,babab,5.0
ARE000022705823,b,1.0
ARE000030007614,b,1.0
ARE000030007618,aab,3.0
ARE000003400822,b,1.0
ARE000001700407,babab,5.0
ARE000032808321,b,1.0
ARE000032808325,b,1.0
ARE000032808330,ab,2.0
ARE000006201612,b,1.0
ARE000032608286,b,1.0
ARE000032608302,a,1.0
ARE000018404701,b,1.0
ARE000037409436,aabab,5.0
ARE000037409440,bab,3.0
ARE000037409432,b,1.0
ARE000009302297,a,1.0
ARE000009402322,bb,2.0
ARE000030507767,b,1.0
ARE000030507789,b,1.0
ARE000016604192,b,1.0
ARE000016604182,ab,2.0
ARE000016604204,b,1.0
ARE000019304922,ab,2.0
ARE000019304938,bab,3.0
ARE000019304926,bb,2.0
ARE000018304659,aaaaaaaaa,9.0
ARE000018304650,bab,3.0
ARE000037909575,b,1.0
ARE000040410185,b,1.0
ARE000020605244,aaaaaaab,8.0
ARE000032408244,b,1.0
ARE000014603660,b,1.0
ARE000022605812,a,1.0
ARE000039709991,b,1.0
ARE000023405999,b,1.0
ARE000000600138,ab,2.0
ARE000041310416,b,1.0
ARE000006901796,a,1.0
ARE000010402566,b,1.0
ARE000004401098,bab,3.0
ARE000036009060,aab,3.0
ARE000006501674,ab,2.0
ARE000023906089,bab,3.0
ARE000008902171,b,1.0
ARE000028607305,a,1.0
ARE000025706560,a,1.0
ARE000014703688,bab,3.0
ARE000012603160,bab,3.0
ARE000005101299,b,1.0
ARE000009602360,b,1.0
ARE000009602379,b,1.0
ARE000029707549,b,1.0
ARE000029707551,abba,4.0
ARE000018704806,b,1.0
ARE000043210851,b,1.0
ARE000007001812,ab,2.0
ARE000034608757,b,1.0
ARE000010602617,b,1.0
ARE000020105136,b,1.0
ARE000010102465,bb,2.0
ARE000010102472,aaaaaaa,7.0
ARE000017604462,ab,2.0
ARE000036809254,ab,2.0
ARE000042210617,b,1.0
ARE000042210601,ab,2.0
ARE000044711254,aabbb,5.0
ARE000044711242,a,1.0
ARE000024706290,ab,2.0
ARE000024706276,abab,4.0
ARE000018504738,b,1.0
ARE000001400339,a,1.0
ARE000001400325,b,1.0
ARE000005401403,ab,2.0
ARE000045211374,ab,2.0
ARE000045211366,b,1.0
ARE000009002221,a,1.0
ARE000009002226,ab,2.0
ARE000020305158,b,1.0
ARE000044811269,a,1.0
ARE000044811275,b,1.0
ARE000026506767,b,1.0
ARE000027807077,ab,2.0
ARE000011602907,abab,4.0
ARE000011602895,ab,2.0
ARE000011602904,abb,3.0
ARE000005901536,b,1.0
ARE000005901528,bbb,3.0
ARE000013803475,bab,3.0
ARE000034808797,b,1.0
ARE000034808810,a,1.0
ARE000033208436,ab,2.0
ARE000006301615,ab,2.0
ARE000004701200,b,1.0
ARE000004701199,b,1.0
ARE000028907353,ab,2.0
ARE000031708049,b,1.0
ARE000030107637,bbabb,5.0
ARE000028207204,bab,3.0
ARE000029907598,a,1.0
ARE000029907600,a,1.0
ARE000005701485,b,1.0
ARE000039109874,b,1.0
ARE000000700191,bab,3.0
ARE000005801510,a,1.0
ARE000003300782,bab,3.0
ARE000015703945,b,1.0
ARE000026306690,bb,2.0
ARE000026306705,abab,4.0
ARE000032508265,abbab,5.0
ARE000032508277,b,1.0
ARE000001900451,a,1.0
ARE000001900472,ab,2.0
ARE000031808076,ab,2.0
ARE000031808094,ab,2.0
ARE000005301373,bab,3.0
ARE000005301378,bab,3.0
ARE000005301376,b,1.0
ARE000005301357,a,1.0
ARE000014503631,ab,2.0
ARE000020205154,b,1.0
ARE000003000740,b,1.0
ARE000003000719,babb,4.0
ARE000013603424,b,1.0
ARE000013603419,bab,3.0
ARE000017504447,ab,2.0
ARE000017504444,ab,2.0
ARE000038209628,bab,3.0
ARE000038209616,b,1.0
ARE000000300058,ab,2.0
ARE000000300059,ab,2.0
ARE000014903744,b,1.0
ARE000039810023,b,1.0
ARE000041710497,bab,3.0
ARE000026706813,b,1.0
ARE000026706811,b,1.0
ARE000019404962,b,1.0
ARE000019404949,babb,4.0
ARE000004000994,ab,2.0
ARE000033708530,a,1.0
ARE000033708519,a,1.0
ARE000021705552,ab,2.0
