,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
1,ARE000018904852,ARE,0,0,0,0,8.9,3.8,28.1,40.8,0,28.1,28.1,3,9.366666667,NA,0,0,0
2,ARE000018904861,ARE,0,0,0,0,26.2,9.9,22.3,58.4,0,22.3,22.3,3,7.433333333,NA,0,0,0
3,ARE000018904843,ARE,0,0,0,0,29.8,9.9,19.6,59.3,0,19.6,19.6,8,2.45,NA,0,0,0
4,ARE000018904832,ARE,0,0,0,0,34.4,5,25.4,64.8,0,25.4,25.4,3,8.466666667,NA,0,0,0
5,ARE000040210135,ARE,0,0,0,0,143.3,16.9,21.4,181.6,0,21.4,21.4,4,5.35,NA,0,0,0
6,ARE000040210143,ARE,0,0,0,0,33.4,12.2,6.1,51.7,0,6.1,6.1,4,1.525,NA,0,0,0
7,ARE000040210127,ARE,0,0,0,0,2.2,60.9,0,63.1,0,0,0,0,NA,NA,0,0,0
8,ARE000037209396,ARE,0,0,0,0,0,0,0,15,0,15,15,0,NA,NA,0,0,0
9,ARE000004801214,ARE,0,0,0,0,12.8,4.2,0,17,0,0,0,0,NA,NA,0,0,0
10,ARE000026106641,ARE,0,0,0,0,65.6,5.8,16,87.4,0,16,16,3,5.333333333,NA,0,0,0
11,ARE000026106640,ARE,0,0,0,0,31.2,19.4,7.2,57.8,0,7.2,7.2,3,2.4,NA,0,0,0
12,ARE000026106638,ARE,0,0,0,0,57.1,2.3,17.8,77.2,0,17.8,17.8,6,2.966666667,NA,0,0,0
13,ARE000031307962,ARE,0,0,0,0,45.6,3.7,4.8,54.1,0,4.8,4.8,2,2.4,NA,0,0,0
14,ARE000031307965,ARE,0,0,0,0,37.6,7.3,2.3,47.2,0,2.3,2.3,3,0.766666667,NA,0,0,0
15,ARE000031307949,ARE,0,0,0,0,28.8,5.4,37.1,71.3,0,37.1,37.1,5,7.42,NA,0,0,0
16,ARE000031307940,ARE,0,0,0,0,3,3.9,16.1,23,0,16.1,16.1,6,2.683333333,NA,0,0,0
17,ARE000034208671,ARE,0,0,0,0,50.1,5.8,18.5,74.4,0,18.5,18.5,8,2.3125,NA,0,0,0
18,ARE000034208658,ARE,0,0,0,0,44.3,11.5,12.2,68,0,12.2,12.2,4,3.05,NA,0,0,0
19,ARE000034208662,ARE,0,0,0,0,34,5.2,5.9,45.1,0,5.9,5.9,4,1.475,NA,0,0,0
20,ARE000027907122,ARE,0,0,0,0,0,0,0,13,0,13,13,0,NA,NA,0,0,0
21,ARE000027907117,ARE,10.5,8,35.4,43.4,154.4,2.8,64.3,221.5,53.9,10.4,64.3,15,4.286666667,bab,3,1,0
22,ARE000027907111,ARE,0,0,0,0,52.5,7,25.3,84.8,0,25.3,25.3,3,8.433333333,NA,0,0,0
