,,,,,,,,,,,,,,,,
,Norm_fullC_0,,Norm_fullC_1,,Norm_fullC_2,,Norm_fullC_3,,0,,1,,2,,3,
,cnt,n,cnt,n,cnt,n,cnt,n,cnt,n,cnt,n,cnt,n,cnt,n
1,COL,2091.927273,QCN,4265.847458,SVK,3036.2,CHL,3210.267857,JPN,73,FIN,225,AUS,225,AUS,148
2,ARE,2071.008,NLD,3861.833333,ISR,2988.467532,SRB,3130.77551,CAN,51,AUS,221,FIN,201,FIN,126
3,MYS,1929.292683,HKG,3249.778846,DEU,2958,URY,3033.703125,AUS,51,NLD,174,CZE,185,CZE,110
4,MNE,1598,BGR,2908.719101,POL,2941.772727,BRA,2711.360656,SGP,38,CZE,148,JPN,140,JPN,107
5,MAC,1520.382857,DNK,2844.791209,NOR,2885.011976,HUN,2696.625,MAC,37,JPN,134,CAN,121,CAN,99
6,RUS,1438.2,FIN,2761.049488,CZE,2842.596154,MNE,2530.166667,ARE,36,CAN,130,NLD,94,BEL,65
7,ISR,1307.454545,MAC,2753.125714,KOR,2793.955414,TUR,2375.598214,FIN,34,HKG,94,SGP,83,SRB,64
8,SGP,1259.253456,TAP,2706.724719,SGP,2750.474654,IRL,2333.921053,BEL,29,BEL,68,HKG,79,ESP,52
9,HRV,1161.279503,KOR,2702.350318,HKG,2731.197115,USA,2235.857143,HRV,26,MAC,67,NOR,67,HRV,50
10,JPN,1156.262115,AUT,2625.285714,FRA,2614.909091,HRV,2233.229814,ESP,26,TAP,67,TAP,64,SWE,38
11,KOR,1145.063694,MYS,2543.158537,TAP,2585.52809,BEL,2077.4,CZE,25,SGP,63,BEL,63,NLD,37
12,ITA,1096.932203,POL,2533.193182,AUS,2508.488372,ESP,2021.254054,KOR,25,KOR,59,KOR,61,NOR,37
13,TUR,1091.491071,AUS,2463.893023,EST,2508.488372,SVK,1997.5,MYS,22,ESP,55,DEU,58,IRL,37
14,SRB,1027.285714,TUR,2439.803571,SWE,2481.401408,FRA,1961.181818,SRB,21,HRV,51,ESP,52,USA,37
15,USA,1027.285714,SVN,2419.401869,FIN,2466.537543,SWE,1924.352113,HKG,20,NOR,48,SWE,49,TUR,37
,,,,,,,,,,,,,,,,
