,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
20,21,ARE000027907117,ARE,10.5,8,35.4,43.4,154.4,2.8,64.3,221.5,53.9,10.4,64.3,15,4.286666667,bab,3,1,0
51,52,ARE000011302798,ARE,145.8,7.2,0,7.2,28.4,3,218,249.4,153,65,218,30,7.266666667,aab,3,1,0
59,60,ARE000018804820,ARE,45.4,10.5,0,10.5,40.8,8.6,58.8,108.2,55.9,2.9,58.8,10,5.88,ab,2,1,0
94,95,ARE000039910042,ARE,10.9,4.3,26.2,30.5,20.8,3.2,70.3,94.3,41.4,28.9,70.3,43,1.634883721,babab,5,1,0
151,152,ARE000006001557,ARE,23.9,3.8,30.5,34.3,9.3,3.3,88.1,100.7,58.2,29.9,88.1,25,3.524,abab,4,1,0
160,161,ARE000024506213,ARE,4.7,4.3,22.5,26.8,7.6,5.7,38.6,51.9,31.5,7.1,38.6,18,2.144444444,babb,4,1,0
163,164,ARE000006601699,ARE,27.6,11.8,0,11.8,19.2,2.2,52.9,74.3,39.4,13.5,52.9,13,4.069230769,ab,2,1,0
169,170,ARE000041810517,ARE,8.1,7.2,0,7.2,21.3,2.7,64.7,88.7,15.3,49.4,64.7,23,2.813043478,aab,3,1,0
170,171,ARE000041810530,ARE,6.2,25.2,36.9,62.1,8.8,1,79.2,89,68.3,10.9,79.2,13,6.092307692,bab,3,1,0
174,175,ARE000009502331,ARE,24.6,5.5,7.2,12.7,11.9,3.9,40.2,56,37.3,2.9,40.2,17,2.364705882,abab,4,1,0
175,176,ARE000009502346,ARE,19.6,16.1,0,16.1,31.9,3.6,36.8,72.3,35.7,1.1,36.8,8,4.6,ab,2,1,0
183,184,ARE000017104340,ARE,19.3,8,15.6,23.6,20.7,2.8,46.7,70.2,42.9,3.8,46.7,19,2.457894737,abab,4,1,0
184,185,ARE000017104333,ARE,9.3,10.3,33.7,44,24.9,3.8,58.1,86.8,53.3,4.8,58.1,22,2.640909091,babab,5,1,0
188,189,ARE000030007618,ARE,56.8,8.8,0,8.8,31.5,3.6,83.7,118.8,65.6,18.1,83.7,14,5.978571429,aab,3,1,0
193,194,ARE000001700407,ARE,7.4,5.7,37,42.7,17,12.3,59.4,88.7,50.1,9.3,59.4,24,2.475,babab,5,1,0
201,202,ARE000032808330,ARE,9.1,6.7,0,6.7,27.3,6.4,39.6,73.3,15.8,23.8,39.6,12,3.3,ab,2,1,0
217,218,ARE000037409436,ARE,23.5,12.6,10.2,22.8,24.2,5.6,55.5,85.3,46.3,9.2,55.5,28,1.982142857,aabab,5,1,0
218,219,ARE000037409440,ARE,5.1,11.2,31.4,42.6,42,8.3,56.9,107.2,47.7,9.2,56.9,19,2.994736842,bab,3,1,0
236,237,ARE000016604182,ARE,9.7,12.5,0,12.5,16.5,3.6,23.4,43.5,22.2,1.2,23.4,8,2.925,ab,2,1,0
239,240,ARE000019304922,ARE,41.6,8.9,0,8.9,9.9,3.3,52,65.2,50.5,1.5,52,8,6.5,ab,2,1,0
240,241,ARE000019304938,ARE,6.9,7.5,59.8,67.3,20.8,2.7,78.3,101.8,74.2,4.1,78.3,13,6.023076923,bab,3,1,0
244,245,ARE000018304650,ARE,7.6,6.8,28,34.8,21.9,3.4,45.2,70.5,42.4,2.8,45.2,14,3.228571429,bab,3,1,0
