"","ID","cnt","time_a","time_b1","time_b2","time_start","time_solving","time_total","time_answer","time_irrelevant","time_explore_relevant","time_ticket_explore","time_explore_total","time_avg_explore","time_avg_btw_events","events_num","sequence","length","credit","OECD","ratio","mean","weight","gender"
"1","ARE000027907117","ARE",2.442347035,2.197224577,3.594568775,1.7993973,1.64461045,1.85508835,1.610539975,1.233613163,1.578569895,0,1.619051677,2.942683053,1.665187928,15,"bab",3,1,0,0.64,391.5,7638.19515,2
"2","ARE000018804820","ARE",3.837299459,2.442347035,0,1.554537349,1.627475387,1.724756092,1.617663061,0.859075327,1.576356602,0,1.588811458,3.365570204,1.928618652,10,"ab",2,1,0,0.28,168.5,3287.447976,1
"3","ARE000039910042","ARE",2.4765384,1.667706821,5.239469291,1.406565009,1.661441257,1.708898548,1.557544093,1.481117713,1.534760547,0.628858621,1.649560645,2.227861547,0.968839052,43,"babab",5,1,0,0.37,227,4428.787482,1
"4","ARE000006001557","ARE",3.214867803,1.568615918,3.449987546,1.203615909,1.702884417,1.720807681,1.625492651,1.488570266,1.612349588,1.144243871,1.694913427,2.744060639,1.509396558,25,"abab",4,1,0,0.61,338.4285714,7308.636611,2
"5","ARE000024506213","ARE",1.740466175,1.667706821,3.157000421,1.147961726,1.54304789,1.579884252,1.499899814,1.128774165,1.46771811,0,1.518173788,2.183238335,1.145637227,18,"babb",4,1,0,0.85,481.7142857,10115.83009,1
"6","ARE000041810530","ARE",1.974081026,3.265759411,3.634951112,1.188569496,1.683528823,1.70267984,1.656024681,1.246037086,1.565791053,0,1.610903475,3.168284039,1.959010773,13,"bab",3,1,0,0.19,116.3,2269.021956,1
"7","ARE000009502331","ARE",3.242592351,1.871802177,2.104134154,1.268981396,1.551477867,1.603857758,1.535888224,0.859075327,1.501948135,0,1.520639636,2.334568139,1.213340554,17,"abab",4,1,0,0.85,520.7,10158.8971,2
"8","ARE000009502346","ARE",3.025291076,2.839078464,0,1.502625823,1.53305547,1.657122765,1.526659764,0.55499791,1.392597225,0,1.405438012,2.936512914,1.722766598,8,"ab",2,1,0,0.64,353.952381,7643.885736,2
"9","ARE000017104340","ARE",3.010620886,2.197224577,2.809402695,1.405438012,1.582052614,1.653526149,1.564840952,0.9433672,1.521859967,0,1.543586784,2.461723314,1.240659946,19,"abab",4,1,0,0.79,483.3,9429.22022,1
"10","ARE000017104333","ARE",2.332143895,2.424802726,3.546739687,1.44791683,1.625159857,1.692089546,1.608342158,1.014454262,1.565316655,0,1.586728047,2.456164181,1.292233401,22,"babab",5,1,0,0.54,294.8235294,6424.575735,2
