,ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,gender
1,ARE000027907117,ARE,10.5,8,0,35.4,0,154.4,64.3,218.7,53.9,10.4,45.9,0,56.3,17.96666667,4.286666667,15,bab,3,1,0,2
2,ARE000011302798,ARE,145.8,7.2,0,0,0,28.4,218,246.4,153,65,145.8,0,210.8,51,7.266666667,30,aab,3,1,0,2
3,ARE000018804820,ARE,45.4,10.5,0,0,0,40.8,58.8,99.6,55.9,2.9,45.4,0,48.3,27.95,5.88,10,ab,2,1,0,1
4,ARE000039910042,ARE,10.9,4.3,0,9.9,16.3,20.8,70.3,91.1,41.4,28.9,37.1,1.4,66,8.28,1.634883721,43,babab,5,1,0,1
5,ARE000006001557,ARE,23.9,3.8,0,0,30.5,9.3,88.1,97.4,58.2,29.9,54.4,7.5,84.3,14.55,3.524,25,abab,4,1,0,2
6,ARE000024506213,ARE,4.7,4.3,0,22.5,0,7.6,38.6,46.2,31.5,7.1,27.2,0,34.3,7.875,2.144444444,18,babb,4,1,0,1
7,ARE000006601699,ARE,27.6,11.8,0,0,0,19.2,52.9,72.1,39.4,13.5,27.6,0,41.1,19.7,4.069230769,13,ab,2,1,0,1
8,ARE000041810517,ARE,8.1,7.2,0,0,0,21.3,64.7,86,15.3,49.4,8.1,0,57.5,5.1,2.813043478,23,aab,3,1,0,1
9,ARE000041810530,ARE,6.2,25.2,0,36.9,0,8.8,79.2,88,68.3,10.9,43.1,0,54,22.76666667,6.092307692,13,bab,3,1,0,1
10,ARE000009502331,ARE,24.6,5.5,0,7.2,0,11.9,40.2,52.1,37.3,2.9,31.8,0,34.7,9.325,2.364705882,17,abab,4,1,0,2
11,ARE000009502346,ARE,19.6,16.1,0,0,0,31.9,36.8,68.7,35.7,1.1,19.6,0,20.7,17.85,4.6,8,ab,2,1,0,2
12,ARE000017104340,ARE,19.3,8,0,15.6,0,20.7,46.7,67.4,42.9,3.8,34.9,0,38.7,10.725,2.457894737,19,abab,4,1,0,1
13,ARE000017104333,ARE,9.3,10.3,0,33.7,0,24.9,58.1,83,53.3,4.8,43,0,47.8,10.66,2.640909091,22,babab,5,1,0,2
14,ARE000030007618,ARE,56.8,8.8,0,0,0,31.5,83.7,115.2,65.6,18.1,56.8,0,74.9,21.86666667,5.978571429,14,aab,3,1,0,1
15,ARE000001700407,ARE,7.4,5.7,0,37,0,17,59.4,76.4,50.1,9.3,44.4,0,53.7,10.02,2.475,24,babab,5,1,0,1
16,ARE000032808330,ARE,9.1,6.7,0,0,0,27.3,39.6,66.9,15.8,23.8,9.1,0,32.9,7.9,3.3,12,ab,2,1,0,2
17,ARE000037409436,ARE,23.5,12.6,0,0,10.2,24.2,55.5,79.7,46.3,9.2,33.7,3.1,42.9,9.26,1.982142857,28,aabab,5,1,0,1
18,ARE000037409440,ARE,5.1,11.2,0,0,31.4,42,56.9,98.9,47.7,9.2,36.5,4.9,45.7,15.9,2.994736842,19,bab,3,1,0,1
19,ARE000016604182,ARE,9.7,12.5,0,0,0,16.5,23.4,39.9,22.2,1.2,9.7,0,10.9,11.1,2.925,8,ab,2,1,0,2
20,ARE000019304922,ARE,41.6,8.9,0,0,0,9.9,52,61.9,50.5,1.5,41.6,0,43.1,25.25,6.5,8,ab,2,1,0,1
21,ARE000019304938,ARE,6.9,7.5,0,59.8,0,20.8,78.3,99.1,74.2,4.1,66.7,0,70.8,24.73333333,6.023076923,13,bab,3,1,0,1
22,ARE000018304650,ARE,7.6,6.8,0,0,28,21.9,45.2,67.1,42.4,2.8,35.6,4.8,38.4,14.13333333,3.228571429,14,bab,3,1,0,1
23,ARE000020605244,ARE,51.3,5.8,0,0,0,18,73.7,91.7,57.1,16.6,51.3,0,67.9,7.1375,2.303125,32,aaaaaaab,8,1,0,1
24,ARE000000600138,ARE,16.2,9.4,0,0,0,39.7,54.8,94.5,25.6,29.2,16.2,0,45.4,12.8,3.914285714,14,ab,2,1,0,1
25,ARE000004401098,ARE,11.4,7.7,0,41,0,18.7,74.9,93.6,60.1,14.8,52.4,0,67.2,20.03333333,4.405882353,17,bab,3,1,0,1
26,ARE000036009060,ARE,40.9,11.3,0,0,0,72.8,60.9,133.7,52.2,8.7,40.9,0,49.6,17.4,3.80625,16,aab,3,1,0,2
27,ARE000006501674,ARE,8.3,0,11.6,0,0,42.7,64.3,107,19.9,44.4,8.3,1.9,75.9,9.95,2.473076923,26,ab,2,1,0,2
28,ARE000023906089,ARE,26.4,4.1,0,0,69.2,63.2,112.5,175.7,99.7,12.8,95.6,25.2,108.4,33.23333333,7.03125,16,bab,3,1,0,1
29,ARE000014703688,ARE,6.2,5.2,0,0,16.3,13.9,42.9,56.8,27.7,15.2,22.5,3.8,37.7,9.233333333,1.95,22,bab,3,1,0,2
30,ARE000012603160,ARE,7,10,0,18.3,0,16,37.1,53.1,35.3,1.8,25.3,0,27.1,11.76666667,2.853846154,13,bab,3,1,0,2
31,ARE000017604462,ARE,17.8,8.2,0,0,0,21.7,42.6,64.3,26,16.6,17.8,0,34.4,13,3.042857143,14,ab,2,1,0,2
32,ARE000042210601,ARE,28.1,12.3,0,0,0,16.6,51.9,68.5,40.4,11.5,28.1,0,39.6,20.2,3.992307692,13,ab,2,1,0,1
33,ARE000044711254,ARE,31.5,6.2,0,11.6,0,58.5,93.9,152.4,49.3,44.6,43.1,0,87.7,9.86,2.134090909,44,aabbb,5,1,0,2
34,ARE000024706290,ARE,28.9,7.3,0,0,0,18.8,38.1,56.9,36.2,1.9,28.9,0,30.8,18.1,4.7625,8,ab,2,1,0,1
35,ARE000024706276,ARE,23.9,3.6,0,0,14.1,20.8,50.3,71.1,41.6,8.7,38,7.8,46.7,10.4,2.286363636,22,abab,4,1,0,1
36,ARE000005401403,ARE,17,7.7,0,0,0,16.8,27.7,44.5,24.7,3,17,0,20,12.35,3.4625,8,ab,2,1,0,1
37,ARE000045211374,ARE,29.3,0,23.5,0,0,56.5,60.9,117.4,52.8,8.1,29.3,9,84.4,26.4,4.35,14,ab,2,1,0,1
38,ARE000009002226,ARE,51.3,11.4,0,0,0,25.5,64.5,90,62.7,1.8,51.3,0,53.1,31.35,8.0625,8,ab,2,1,0,1
39,ARE000027807077,ARE,28.5,12.1,0,0,0,6.6,41.7,48.3,40.6,1.1,28.5,0,29.6,20.3,5.2125,8,ab,2,1,0,1
