,Unnamed: 0,ID,Unnamed..0.1,Unnamed..0,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_explore_total,events_num,length,time_avg_explore,time_avg_btw_events,time_ticket_explore,ratio,mean,weight,gender,cluster
0,1,ARE000027907117,1,1,ARE,10.5,8.0,0.0,35.4,0.0,154.4,64.3,218.7,53.9,10.4,45.9,56.3,15,3,17.96666667,4.286666667,0.0,0.64,391.5,7638.19515,2,2
1,2,ARE000011302798,2,2,ARE,145.8,7.2,0.0,0.0,0.0,28.4,218.0,246.4,153.0,65.0,145.8,210.8,30,3,51.0,7.266666667,0.0,0.37,212.1,4349.1677,2,0
2,3,ARE000018804820,3,3,ARE,45.4,10.5,0.0,0.0,0.0,40.8,58.8,99.6,55.9,2.9,45.4,48.3,10,2,27.95,5.88,0.0,0.28,168.5,3287.447976,1,3
3,4,ARE000039910042,4,4,ARE,10.9,4.3,0.0,9.9,16.3,20.8,70.3,91.1,41.4,28.9,37.1,66.0,43,5,8.28,1.634883721,1.4,0.37,227.0,4428.787482,1,0
4,5,ARE000006001557,5,5,ARE,23.9,3.8,0.0,0.0,30.5,9.3,88.1,97.4,58.2,29.9,54.4,84.3,25,4,14.55,3.524,7.5,0.61,338.4285714,7308.636611,2,0
5,6,ARE000024506213,6,6,ARE,4.7,4.3,0.0,22.5,0.0,7.6,38.6,46.2,31.5,7.1,27.2,34.3,18,4,7.875,2.144444444,0.0,0.85,481.7142857,10115.83009,1,2
6,7,ARE000006601699,7,7,ARE,27.6,11.8,0.0,0.0,0.0,19.2,52.9,72.1,39.4,13.5,27.6,41.1,13,2,19.7,4.069230769,0.0,0.38,233.3,4551.700967,1,3
7,8,ARE000041810517,8,8,ARE,8.1,7.2,0.0,0.0,0.0,21.3,64.7,86.0,15.3,49.4,8.1,57.5,23,3,5.1,2.813043478,0.0,0.39,216.047619,4665.721726,1,0
8,9,ARE000041810530,9,9,ARE,6.2,25.2,0.0,36.9,0.0,8.8,79.2,88.0,68.3,10.9,43.1,54.0,13,3,22.76666667,6.092307692,0.0,0.19,116.3,2269.021956,1,3
9,10,ARE000009502331,10,10,ARE,24.6,5.5,0.0,7.2,0.0,11.9,40.2,52.1,37.3,2.9,31.8,34.7,17,4,9.325,2.364705882,0.0,0.85,520.7,10158.8971,2,1
10,11,ARE000009502346,11,11,ARE,19.6,16.1,0.0,0.0,0.0,31.9,36.8,68.7,35.7,1.1,19.6,20.7,8,2,17.85,4.6,0.0,0.64,353.952381,7643.885736,2,3
11,12,ARE000017104340,12,12,ARE,19.3,8.0,0.0,15.6,0.0,20.7,46.7,67.4,42.9,3.8,34.9,38.7,19,4,10.725,2.457894737,0.0,0.79,483.3,9429.22022,1,2
12,13,ARE000017104333,13,13,ARE,9.3,10.3,0.0,33.7,0.0,24.9,58.1,83.0,53.3,4.8,43.0,47.8,22,5,10.66,2.640909091,0.0,0.54,294.8235294,6424.575735,2,2
13,14,ARE000030007618,14,14,ARE,56.8,8.8,0.0,0.0,0.0,31.5,83.7,115.2,65.6,18.1,56.8,74.9,14,3,21.86666667,5.978571429,0.0,0.46,280.8,5478.429625,1,0
14,15,ARE000001700407,15,15,ARE,7.4,5.7,0.0,37.0,0.0,17.0,59.4,76.4,50.1,9.3,44.4,53.7,24,5,10.02,2.475,0.0,0.68,417.3,8141.555137,1,2
15,16,ARE000032808330,16,16,ARE,9.1,6.7,0.0,0.0,0.0,27.3,39.6,66.9,15.8,23.8,9.1,32.9,12,2,7.9,3.3,0.0,0.46,283.2,5525.25381,2,0
16,17,ARE000037409436,17,17,ARE,23.5,12.6,0.0,0.0,10.2,24.2,55.5,79.7,46.3,9.2,33.7,42.9,28,5,9.26,1.982142857,3.1,0.56,343.4,6699.760446,1,1
17,18,ARE000037409440,18,18,ARE,5.1,11.2,0.0,0.0,31.4,42.0,56.9,98.9,47.7,9.2,36.5,45.7,19,3,15.9,2.994736842,4.9,0.81,438.9473684,9608.458554,1,3
18,19,ARE000016604182,19,19,ARE,9.7,12.5,0.0,0.0,0.0,16.5,23.4,39.9,22.2,1.2,9.7,10.9,8,2,11.1,2.925,0.0,0.66,374.6190476,7866.867861,2,1
19,20,ARE000019304922,20,20,ARE,41.6,8.9,0.0,0.0,0.0,9.9,52.0,61.9,50.5,1.5,41.6,43.1,8,2,25.25,6.5,0.0,0.55,298.2105263,6532.627961,1,3
20,21,ARE000019304938,21,21,ARE,6.9,7.5,0.0,59.8,0.0,20.8,78.3,99.1,74.2,4.1,66.7,70.8,13,3,24.73333333,6.023076923,0.0,0.46,280.8,5478.429625,1,2
21,22,ARE000018304650,22,22,ARE,7.6,6.8,0.0,0.0,28.0,21.9,45.2,67.1,42.4,2.8,35.6,38.4,14,3,14.13333333,3.228571429,4.8,0.25,140.047619,2940.950601,1,1
22,23,ARE000020605244,23,23,ARE,51.3,5.8,0.0,0.0,0.0,18.0,73.7,91.7,57.1,16.6,51.3,67.9,32,8,7.1375,2.303125,0.0,0.32,179.4285714,3767.936711,1,0
23,24,ARE000000600138,24,24,ARE,16.2,9.4,0.0,0.0,0.0,39.7,54.8,94.5,25.6,29.2,16.2,45.4,14,2,12.8,3.914285714,0.0,0.29,158.6190476,3425.505635,1,0
24,25,ARE000004401098,25,25,ARE,11.4,7.7,0.0,41.0,0.0,18.7,74.9,93.6,60.1,14.8,52.4,67.2,17,3,20.03333333,4.405882353,0.0,0.66,401.1,7825.491889,1,2
25,26,ARE000036009060,26,26,ARE,40.9,11.3,0.0,0.0,0.0,72.8,60.9,133.7,52.2,8.7,40.9,49.6,16,3,17.4,3.80625,0.0,0.49,270.6666667,5845.263894,2,3
26,27,ARE000006501674,27,27,ARE,8.3,0.0,11.6,0.0,0.0,42.7,64.3,107.0,19.9,44.4,8.3,75.9,26,2,9.95,2.473076923,1.9,0.53,305.3157895,6253.395651,2,0
27,28,ARE000023906089,28,28,ARE,26.4,4.1,0.0,0.0,69.2,63.2,112.5,175.7,99.7,12.8,95.6,108.4,16,3,33.23333333,7.03125,25.2,0.47,286.6,5591.588071,1,3
28,29,ARE000014703688,29,29,ARE,6.2,5.2,0.0,0.0,16.3,13.9,42.9,56.8,27.7,15.2,22.5,37.7,22,3,9.233333333,1.95,3.8,0.74,448.6,8752.220547,2,1
